equation_family,ref_model,outcome,model_group,model_type,description,variable,block,block_label,variable_role
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",age,controls_demography_SES,Controls,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",sex_female,controls_demography_SES,Controls,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",M_education,controls_demography_SES,Controls,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",income_ppp_norm,controls_demography_SES,Controls,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",minority,controls_demography_SES,Controls,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",M_religion,controls_demography_SES,Controls,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",institutional_trust_avg,trust_engine,Institutional trust,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",fivec_pro_vax_idx,disposition_engine,Disposition (5C),predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",covid_perceived_danger_T12,stakes_engine,Stakes,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",social_norms_vax_avg,norms_engine,Norms,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",covax_legitimacy_scepticism_idx,legitimacy_engine,CoVax Legitimacy,predictor
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",M_religion_missing,missingness,Missingness,missingness_indicator
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",income_ppp_norm_missing,missingness,Missingness,missingness_indicator
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",minority_missing,missingness,Missingness,missingness_indicator
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",social_norms_vax_avg_missing,missingness,Missingness,missingness_indicator
choice,B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,vax_willingness_T12,B_COVID,ordinal,"Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)",country,controls_country,Country context (fixed effect),fixed_effect
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),age,controls_demography_SES,Controls,predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),sex_female,controls_demography_SES,Controls,predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),M_education,controls_demography_SES,Controls,predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),income_ppp_norm,controls_demography_SES,Controls,predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),minority,controls_demography_SES,Controls,predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),M_religion,controls_demography_SES,Controls,predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),fivec_collective_responsibility,disposition_engine,Disposition (5C),predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),fivec_confidence,disposition_engine,Disposition (5C),predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),fivec_low_complacency,disposition_engine,Disposition (5C),predictor
choice,B_PROTECT_mask_when_symptomatic_crowded_ENGINES_REF,mask_when_symptomatic_crowded,B_PROTECT,ordinal,Mask use in crowds when symptomatic (ref engines: LOBO/BIC-positive blocks only),fivec_low_constraints,disposition_engine,Disposition (5C),predictor
